ID,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,Column1
3429,6.9,0.28,0.24,2.1,0.034,49,121,0.98882,2.98,0.43,13.2,1
3430,6.1,0.28,0.27,4.7,0.03,56,140,0.99042,3.16,0.42,12.5,1
3431,6.5,0.28,0.34,3.6,0.04,29,121,0.99111,3.28,0.48,12.1,1
3432,6.9,0.19,0.35,6.9,0.045,51,125,0.9933,3.1,0.44,10.7,1
3433,6.5,0.28,0.34,3.6,0.04,29,121,0.99111,3.28,0.48,12.1,1
3434,6.1,0.28,0.27,4.7,0.03,56,140,0.99042,3.16,0.42,12.5,1
3435,6.6,0.24,0.3,11.3,0.026,11,77,0.99381,3.13,0.55,12.8,1
3436,6.9,0.28,0.3,8.3,0.026,37,113,0.99139,2.99,0.38,12.3,1
3437,8.9,0.3,0.35,4.6,0.032,32,148,0.99458,3.15,0.45,11.5,1
3438,8.9,0.3,0.35,4.6,0.032,32,148,0.99458,3.15,0.45,11.5,1
3439,6.1,0.3,0.3,2.1,0.031,50,163,0.9895,3.39,0.43,12.7,1
3440,6.1,0.3,0.3,2.1,0.031,50,163,0.9895,3.39,0.43,12.7,1
3441,6.3,0.29,0.28,4.7,0.059,28,81,0.99036,3.24,0.56,12.7,1
3442,6.2,0.28,0.28,4.3,0.026,22,105,0.989,2.98,0.64,13.1,1
3443,6.2,0.255,0.27,1.3,0.037,30,86,0.98834,3.05,0.59,12.9,1
3444,5.9,0.27,0.27,5,0.035,14,97,0.99058,3.1,0.33,11.8,1
3445,6.6,0.15,0.32,6,0.033,59,128,0.99192,3.19,0.71,12.1,1
3446,6.7,0.47,0.29,4.75,0.034,29,134,0.99056,3.29,0.46,13,1
3447,6.6,0.15,0.32,6,0.033,59,128,0.99192,3.19,0.71,12.1,1
3448,6.6,0.21,0.29,5.35,0.029,43,106,0.99112,2.93,0.43,11.5,1
3449,6.6,0.21,0.29,5.35,0.029,43,106,0.99112,2.93,0.43,11.5,1
3450,6.1,0.105,0.31,1.3,0.037,55,145,0.9912,3.41,0.41,11.1,1
3451,5.8,0.32,0.2,2.6,0.027,17,123,0.98936,3.36,0.78,13.9,1
3452,6.7,0.24,0.3,3.85,0.042,105,179,0.99189,3.04,0.59,11.3,1
3453,6.2,0.3,0.31,1.6,0.035,40,106,0.98914,3.26,0.39,12.9,1
3454,6.6,0.16,0.36,1.1,0.031,27,93,0.98884,3.23,0.34,13.2,1
3455,6.7,0.24,0.3,3.85,0.042,105,179,0.99189,3.04,0.59,11.3,1
3456,6.5,0.3,0.27,4,0.038,37,97,0.99026,3.2,0.6,12.6,1
3457,6.2,0.37,0.24,6.1,0.032,19,86,0.98934,3.04,0.26,13.4,1
3458,7.6,0.31,0.24,1.8,0.037,39,150,0.9913,3.05,0.44,11.8,1
3459,5.9,0.32,0.28,4.7,0.039,34,94,0.98964,3.22,0.57,13.1,1
3460,6.5,0.3,0.27,4,0.038,37,97,0.99026,3.2,0.6,12.6,1
3461,5.4,0.45,0.27,6.4,0.033,20,102,0.98944,3.22,0.27,13.4,1
3462,6.1,0.36,0.26,8.15,0.035,14,88,0.99031,3.06,0.27,13,1
3463,6.2,0.37,0.24,6.1,0.032,19,86,0.98934,3.04,0.26,13.4,1
3464,7.5,0.21,0.32,4.8,0.056,39,113,0.99393,3.11,0.52,10.2,1
3465,6.7,0.28,0.31,7.4,0.041,7,81,0.99254,3.04,0.47,11.4,1
3466,7.6,0.31,0.24,1.8,0.037,39,150,0.9913,3.05,0.44,11.8,1
3467,6,0.28,0.27,15.5,0.036,31,134,0.99408,3.19,0.44,13,1
3468,6,0.28,0.27,15.5,0.036,31,134,0.99408,3.19,0.44,13,1
3469,6.3,0.22,0.28,2.4,0.042,38,102,0.98998,3.14,0.37,11.6,1
3470,6,0.24,0.28,3.95,0.038,61,134,0.99146,3.3,0.54,11.3,1
3471,6.1,0.33,0.3,3,0.036,30,124,0.98922,3.31,0.4,13.1,1
3472,6,0.28,0.27,15.5,0.036,31,134,0.99408,3.19,0.44,13,1
3473,6.9,0.33,0.31,4.2,0.04,21,93,0.9896,3.18,0.48,13.4,1
3474,6.5,0.16,0.34,1.4,0.029,29,133,0.99108,3.33,0.64,11.5,1
3475,6,0.2,0.32,3,0.031,26,118,0.99134,3.38,0.68,11.2,1
3476,7.1,0.36,0.28,2.4,0.036,35,115,0.98936,3.19,0.44,13.5,1
3477,6.5,0.19,0.28,1.4,0.046,22,90,0.99038,3.18,0.51,11.7,1
3478,6.8,0.19,0.33,1.3,0.031,22,87,0.98987,3.08,0.62,12.3,1
3479,7.2,0.33,0.34,2,0.044,61,171,0.98947,3.25,0.53,13.3,1
3480,6.6,0.29,0.29,1.8,0.036,38,102,0.98819,3.08,0.42,13.7,1
3481,6.9,0.33,0.62,7.5,0.038,46,132,0.99143,3.23,0.43,13.4,1
3482,5.9,0.23,0.24,3.8,0.038,61,152,0.99139,3.31,0.5,11.3,1
3483,7.1,0.35,0.27,3.1,0.034,28,134,0.9897,3.26,0.38,13.1,1
3484,6.5,0.28,0.25,4.8,0.029,54,128,0.99074,3.17,0.44,12.2,1
3485,4.8,0.21,0.21,10.2,0.037,17,112,0.99324,3.66,0.48,12.2,1
3486,7.8,0.15,0.34,1.1,0.035,31,93,0.99096,3.07,0.72,11.3,1
3487,6.8,0.18,0.28,1.1,0.027,32,112,0.99089,3.15,0.45,11,1
3488,7.3,0.23,0.27,2.6,0.035,39,120,0.99138,3.04,0.59,11.3,1
3489,7.4,0.25,0.28,7.25,0.028,14,78,0.99238,2.94,0.37,11.5,1
3490,7.2,0.26,0.24,7,0.023,19,130,0.99176,3.14,0.49,12.8,1
3491,7.4,0.25,0.28,7.25,0.028,14,78,0.99238,2.94,0.37,11.5,1
3492,7,0.24,0.35,1,0.032,42,104,0.98988,3.16,0.37,11.7,1
3493,5.8,0.28,0.28,4.2,0.044,52,158,0.992,3.35,0.44,10.7,1
3494,6.6,0.19,0.35,1.5,0.037,37,107,0.99006,3.18,0.68,12,1
3495,5.6,0.28,0.27,3.9,0.043,52,158,0.99202,3.35,0.44,10.7,1
3496,5.6,0.28,0.28,4.2,0.044,52,158,0.992,3.35,0.44,10.7,1
3497,6.8,0.19,0.32,7.6,0.049,37,107,0.99332,3.12,0.44,10.7,1
3498,7.2,0.16,0.29,1,0.031,40,123,0.98958,3.12,0.4,12.1,1
3499,6.6,0.17,0.28,1.1,0.034,55,108,0.98939,3,0.52,11.9,1
3500,5.8,0.2,0.24,1.4,0.033,65,169,0.99043,3.59,0.56,12.3,1
3501,6.6,0.295,0.24,1.6,0.039,29,140,0.99304,3.35,0.61,10.4,1
3502,7,0.32,0.27,7.1,0.027,37,122,0.99165,3.15,0.6,12.6,1
3503,7.1,0.27,0.24,12.6,0.044,48,118,0.99726,3.04,0.56,10,1
3504,6.3,0.2,0.26,4.7,0.04,108,168,0.99278,3.07,0.75,10.7,1
3505,7.1,0.27,0.24,12.6,0.044,48,118,0.99726,3.04,0.56,10,1
3506,6.6,0.36,0.28,6.1,0.029,12,93,0.99054,3.19,0.27,12.8,1
3507,7.6,0.31,0.27,8.8,0.021,57,156,0.99442,3.08,0.38,11,1
3508,6.5,0.26,0.39,1.4,0.02,12,66,0.99089,3.25,0.75,11.3,1
3509,8.7,0.3,0.34,4.8,0.018,23,127,0.99474,3.12,0.49,11.2,1
3510,6.4,0.29,0.32,2.4,0.014,34,89,0.99008,3.24,0.66,12.5,1
3511,6.4,0.24,0.23,2,0.046,30,133,0.9908,3.12,0.54,11.4,1
3512,7.2,0.33,0.22,4.5,0.031,10,73,0.99076,2.97,0.52,12.2,1
3513,6.4,0.29,0.24,3.2,0.037,31,95,0.98942,2.9,0.66,12.6,1
3514,6.8,0.52,0.26,5.7,0.038,27,130,0.99,3.11,0.27,13,1
3515,7.1,0.28,0.28,8.5,0.03,25,191,0.99338,3.16,0.46,12.2,1
3516,5.7,0.15,0.47,11.4,0.035,49,128,0.99456,3.03,0.34,10.5,1
3517,5.8,0.275,0.3,5.4,0.043,41,149,0.9926,3.33,0.42,10.8,1
3518,5.4,0.53,0.16,2.7,0.036,34,128,0.98856,3.2,0.53,13.2,1
3519,5.8,0.32,0.28,4.3,0.032,46,115,0.98946,3.16,0.57,13,1
3520,5,0.29,0.54,5.7,0.035,54,155,0.98976,3.27,0.34,12.9,1
3521,5.4,0.53,0.16,2.7,0.036,34,128,0.98856,3.2,0.53,13.2,1
3522,6.8,0.21,0.26,11.7,0.038,61,152,0.99523,3.02,0.56,10.5,1
3523,5.8,0.32,0.28,4.3,0.032,46,115,0.98946,3.16,0.57,13,1
3524,5.9,0.37,0.32,1.6,0.029,41,102,0.98916,3.41,0.55,12.7,1
3525,6.8,0.3,0.29,6.2,0.025,29,95,0.99071,3.03,0.32,12.9,1
3526,7.3,0.41,0.29,1.8,0.032,26,74,0.98889,2.96,0.35,13,1
3527,5.4,0.3,0.3,1.2,0.029,25,93,0.98742,3.31,0.4,13.6,1
3528,5.3,0.3,0.3,1.2,0.029,25,93,0.98742,3.31,0.4,13.6,1
3529,7.1,0.2,0.27,9.6,0.037,19,105,0.99444,3.04,0.37,10.5,1
3530,7,0.22,0.26,9.2,0.027,37,122,0.99228,3.06,0.34,12.5,1
3531,6.4,0.16,0.44,1.2,0.051,39,122,0.99058,3.11,0.75,11.3,1
3532,6.8,0.31,0.3,8,0.028,33,122,0.99164,3.13,0.63,12.6,1
3533,7,0.22,0.26,9.2,0.027,37,122,0.99228,3.06,0.34,12.5,1
3534,5.6,0.21,0.24,4.4,0.027,37,150,0.991,3.3,0.31,11.5,1
3535,7.1,0.2,0.27,9.6,0.037,19,105,0.99444,3.04,0.37,10.5,1
3536,6.8,0.31,0.3,8,0.028,33,122,0.99164,3.13,0.63,12.6,1
3537,6.4,0.16,0.44,1.2,0.051,39,122,0.99058,3.11,0.75,11.3,1
3538,6.3,0.34,0.27,2.5,0.024,40,152,0.99095,3.35,0.6,11.9,1
3539,5.7,0.265,0.28,6.9,0.036,46,150,0.99299,3.36,0.44,10.8,1
3540,4.8,0.17,0.28,2.9,0.03,22,111,0.9902,3.38,0.34,11.3,1
3541,5.7,0.265,0.28,6.9,0.036,46,150,0.99299,3.36,0.44,10.8,1
3542,6.2,0.2,0.33,5.4,0.028,21,75,0.99012,3.36,0.41,13.5,1
3543,7,0.15,0.28,14.7,0.051,29,149,0.99792,2.96,0.39,9,1
3544,7,0.15,0.28,14.7,0.051,29,149,0.99792,2.96,0.39,9,1
3545,7,0.15,0.28,14.7,0.051,29,149,0.99792,2.96,0.39,9,1
3546,7,0.15,0.28,14.7,0.051,29,149,0.99792,2.96,0.39,9,1
3547,7,0.15,0.28,14.7,0.051,29,149,0.99792,2.96,0.39,9,1
3548,7,0.15,0.28,14.7,0.051,29,149,0.99792,2.96,0.39,9,1
3549,7,0.15,0.28,14.7,0.051,29,149,0.99792,2.96,0.39,9,1
3550,7,0.15,0.28,14.7,0.051,29,149,0.99792,2.96,0.39,9,1
3551,5.4,0.46,0.15,2.1,0.026,29,130,0.98953,3.39,0.77,13.4,1
3552,6.1,0.17,0.28,2.5,0.028,22,98,0.99072,3.16,0.37,11.1,1
3553,5.4,0.46,0.15,2.1,0.026,29,130,0.98953,3.39,0.77,13.4,1
3554,6.3,0.15,0.3,1.4,0.022,38,100,0.99099,3.42,0.57,11.4,1
3555,6.5,0.32,0.45,7.7,0.022,31,97,0.99134,3.2,0.7,12.7,1
3556,5.6,0.19,0.31,2.7,0.027,11,100,0.98964,3.46,0.4,13.2,1
3557,6.3,0.43,0.32,8.8,0.042,18,106,0.99172,3.28,0.33,12.9,1
3558,7.3,0.24,0.3,2.5,0.042,31,104,0.9911,3.05,0.56,11.3,1
3559,7.1,0.44,0.23,5.8,0.035,24,100,0.99062,3.15,0.57,13.2,1
3560,4.8,0.26,0.23,10.6,0.034,23,111,0.99274,3.46,0.28,11.5,1
3561,7.5,0.34,0.28,4,0.028,46,100,0.98958,3.2,0.5,13.2,1
3562,5.9,0.17,0.29,3.1,0.03,32,123,0.98913,3.41,0.33,13.7,1
3563,6.6,0.32,0.26,4.6,0.031,26,120,0.99198,3.4,0.73,12.5,1
3564,6.6,0.39,0.22,4,0.038,17,98,0.99018,3.25,0.53,13,1
3565,7.4,0.22,0.27,1.6,0.057,45,98,0.99299,3.29,0.44,9.9,1
3566,8.5,0.23,0.34,1.3,0.035,54,110,0.99176,3.07,0.55,11,1
3567,5,0.455,0.18,1.9,0.036,33,106,0.98746,3.21,0.83,14,1
3568,6.5,0.33,0.3,3.8,0.036,34,88,0.99028,3.25,0.63,12.5,1
3569,6.5,0.33,0.3,3.8,0.036,34,88,0.99028,3.25,0.63,12.5,1
3570,6.7,0.31,0.3,2.4,0.038,30,83,0.98867,3.09,0.36,12.8,1
3571,6.2,0.39,0.24,4.8,0.037,45,138,0.99174,3.23,0.43,11.2,1
3572,6.2,0.39,0.24,4.8,0.037,45,138,0.99174,3.23,0.43,11.2,1
3573,6.5,0.33,0.3,3.8,0.036,34,88,0.99028,3.25,0.63,12.5,1
3574,6.2,0.39,0.24,4.8,0.037,45,138,0.99174,3.23,0.43,11.2,1
3575,4.7,0.455,0.18,1.9,0.036,33,106,0.98746,3.21,0.83,14,1
3576,6.4,0.35,0.28,1.6,0.037,31,113,0.98779,3.12,0.4,14.2,1
3577,6.7,0.31,0.3,2.4,0.038,30,83,0.98867,3.09,0.36,12.8,1
3578,6.9,0.22,0.28,7.8,0.05,43,116,0.99326,3.22,0.6,11.5,1
3579,6.1,0.3,0.32,2.2,0.042,41,142,0.98952,3.31,0.44,12.7,1
3580,8.4,0.22,0.3,1.3,0.038,45,122,0.99178,3.13,0.54,10.8,1
3581,7.2,0.58,0.27,5.8,0.032,40,118,0.99088,3.17,0.53,13,1
3582,6,0.34,0.32,3.8,0.044,13,116,0.99108,3.39,0.44,11.8,1
3583,6.7,0.18,0.31,10.6,0.035,42,143,0.99572,3.08,0.49,9.8,1
3584,6.1,0.24,0.26,1.7,0.033,61,134,0.9903,3.19,0.81,11.9,1
3585,7,0.32,0.29,7.6,0.025,35,124,0.99162,3.15,0.65,12.8,1
3586,6.5,0.29,0.53,1.7,0.04,41,192,0.9922,3.26,0.59,10.4,1
3587,6.3,0.22,0.27,4.5,0.036,81,157,0.9928,3.05,0.76,10.7,1
3588,6.1,0.24,0.26,1.7,0.033,61,134,0.9903,3.19,0.81,11.9,1
3589,7,0.32,0.29,7.6,0.025,35,124,0.99162,3.15,0.65,12.8,1
3590,6.7,0.19,0.32,3.7,0.041,26,76,0.99173,2.9,0.57,10.5,1
3591,6.7,0.28,0.34,8.9,0.048,32,111,0.99455,3.25,0.54,11,1
3592,6.7,0.28,0.34,8.9,0.048,32,111,0.99455,3.25,0.54,11,1
3593,6.7,0.28,0.34,8.9,0.048,32,111,0.99455,3.25,0.54,11,1
3594,6,0.26,0.29,3.1,0.041,37,144,0.98944,3.22,0.39,12.8,1
3595,6.5,0.38,0.26,5.2,0.042,33,112,0.99067,3.06,0.5,12.3,1
3596,6,0.26,0.29,3.1,0.041,37,144,0.98944,3.22,0.39,12.8,1
3597,7.4,0.16,0.27,15.5,0.05,25,135,0.9984,2.9,0.43,8.7,1
3598,7.4,0.16,0.27,15.5,0.05,25,135,0.9984,2.9,0.43,8.7,1
3599,7.4,0.16,0.27,15.5,0.05,25,135,0.9984,2.9,0.43,8.7,1
3600,7.4,0.16,0.27,15.5,0.05,25,135,0.9984,2.9,0.43,8.7,1
3601,7.2,0.17,0.28,17.55,0.05,33,154,0.99971,2.94,0.43,9,1
3602,7.4,0.16,0.27,15.5,0.05,25,135,0.9984,2.9,0.43,8.7,1
3603,7.4,0.16,0.27,15.5,0.05,25,135,0.9984,2.9,0.43,8.7,1
3604,7.2,0.17,0.28,17.55,0.05,33,154,0.99971,2.94,0.43,9,1
3605,6.6,0.5,0.26,11.3,0.029,32,110,0.99302,3.27,0.78,12.9,1
3606,7.5,0.16,0.38,12.7,0.043,70.5,163,0.99706,3.15,0.82,10.4,1
3607,6.5,0.33,0.24,14.5,0.048,20,96,0.99456,3.06,0.3,11.5,1
3608,6.4,0.25,0.28,4.9,0.03,29,98,0.99024,3.09,0.58,12.8,1
3609,5.7,0.31,0.28,4.1,0.03,22,86,0.99062,3.31,0.38,11.7,1
3610,6.9,0.45,0.27,4.7,0.035,17,80,0.99058,3.12,0.36,12.5,1
3611,6.9,0.3,0.45,1.4,0.039,36,122,0.99059,3.07,0.47,11.1,1
3612,6.5,0.43,0.31,3.6,0.046,19,143,0.99022,3.15,0.34,12,1
3613,6.5,0.4,0.31,3.5,0.046,22,147,0.99024,3.15,0.31,12,1
3614,6,0.13,0.36,1.6,0.052,23,72,0.98974,3.1,0.5,11.5,1
3615,6.3,0.34,0.31,6,0.02,18,68,0.98981,3.22,0.29,13.4,1
3616,6.8,0.18,0.35,5.4,0.054,53,143,0.99287,3.1,0.54,11,1
3617,7.1,0.13,0.29,15.5,0.064,56,115.5,0.99737,3.16,0.41,9.7,1
3618,6.8,0.18,0.35,5.4,0.054,53,143,0.99287,3.1,0.54,11,1
3619,5.8,0.24,0.28,1.4,0.038,40,76,0.98711,3.1,0.29,13.9,1
3620,7.4,0.16,0.3,13.7,0.056,33,168,0.99825,2.9,0.44,8.7,1
3621,7.4,0.16,0.3,13.7,0.056,33,168,0.99825,2.9,0.44,8.7,1
3622,7.4,0.16,0.3,13.7,0.056,33,168,0.99825,2.9,0.44,8.7,1
3623,7.4,0.16,0.3,13.7,0.056,33,168,0.99825,2.9,0.44,8.7,1
3624,7.4,0.16,0.3,13.7,0.056,33,168,0.99825,2.9,0.44,8.7,1
3625,7.4,0.16,0.3,13.7,0.056,33,168,0.99825,2.9,0.44,8.7,1
3626,6.6,0.22,0.35,1.4,0.05,23,83,0.99019,3.17,0.48,12,1
3627,5.8,0.23,0.31,3.5,0.044,35,158,0.98998,3.19,0.37,12.1,1
3628,6.3,0.17,0.32,1,0.04,39,118,0.98886,3.31,0.4,13.1,1
3629,6.7,0.21,0.34,1.5,0.035,45,123,0.98949,3.24,0.36,12.6,1
3630,7.4,0.16,0.3,13.7,0.056,33,168,0.99825,2.9,0.44,8.7,1
3631,6.9,0.35,0.39,2.4,0.048,25,157,0.99133,3.2,0.54,11.1,1
3632,5.8,0.19,0.33,4.2,0.038,49,133,0.99107,3.16,0.42,11.3,1
3633,6.2,0.3,0.3,2.5,0.041,29,82,0.99065,3.31,0.61,11.8,1
3634,6.4,0.33,0.28,4,0.04,24,81,0.9903,3.26,0.64,12.6,1
3635,7.1,0.45,0.24,2.7,0.04,24,87,0.98862,2.94,0.38,13.4,1
3636,6.1,0.25,0.3,1.2,0.036,42,107,0.991,3.34,0.56,10.8,1
3637,5.4,0.22,0.35,6.5,0.029,26,87,0.99092,3.29,0.44,12.5,1
3638,5.6,0.255,0.57,10.7,0.056,66,171,0.99464,3.25,0.61,10.4,1
3639,5.2,0.2,0.27,3.2,0.047,16,93,0.99235,3.44,0.53,10.1,1
3640,5.7,0.28,0.36,1.8,0.041,38,90,0.99002,3.27,0.98,11.9,1
3641,5.9,0.22,0.29,4.2,0.037,69,144,0.99214,3.13,0.74,10.8,1
3642,6,0.31,0.27,2.3,0.042,19,120,0.98952,3.32,0.41,12.7,1
3643,6,0.31,0.27,2.3,0.042,19,120,0.98952,3.32,0.41,12.7,1
3644,6,0.29,0.27,2.3,0.044,20,117,0.9895,3.31,0.41,12.7,1
3645,5.2,0.31,0.2,2.4,0.027,27,117,0.98886,3.56,0.45,13,1
3646,6.5,0.22,0.27,1.6,0.039,36,116,0.99178,3.38,0.57,11,1
3647,6.3,0.41,0.22,7.3,0.035,23,117,0.99172,3.2,0.39,11.94,1
3648,6.7,0.41,0.24,5.4,0.035,33,115,0.9901,3.12,0.44,12.89333333,1
3649,6.7,0.34,0.26,1.9,0.038,58,138,0.9893,3,0.47,12.2,1
3650,6.3,0.41,0.22,7.3,0.035,23,117,0.99172,3.2,0.39,11.94,1
3651,6.7,0.41,0.24,5.4,0.035,33,115,0.9901,3.12,0.44,12.89333333,1
3652,7.4,0.16,0.33,1.2,0.042,47,121,0.99198,3.04,0.68,10.5,1
3653,7.3,0.19,0.27,13.9,0.057,45,155,0.99807,2.94,0.41,8.8,1
3654,7.3,0.19,0.27,13.9,0.057,45,155,0.99807,2.94,0.41,8.8,1
3655,7.3,0.19,0.27,13.9,0.057,45,155,0.99807,2.94,0.41,8.8,1
3656,7.3,0.19,0.27,13.9,0.057,45,155,0.99807,2.94,0.41,8.8,1
3657,7.3,0.19,0.27,13.9,0.057,45,155,0.99807,2.94,0.41,8.8,1
3658,7.3,0.19,0.27,13.9,0.057,45,155,0.99807,2.94,0.41,8.8,1
3659,7.3,0.19,0.27,13.9,0.057,45,155,0.99807,2.94,0.41,8.8,1
3660,6.8,0.24,0.29,2,0.044,15,96,0.99232,3.23,0.64,10.4,1
3661,7.3,0.19,0.27,13.9,0.057,45,155,0.99807,2.94,0.41,8.8,1
3662,7.1,0.23,0.3,2.6,0.034,62,148,0.99121,3.03,0.56,11.3,1
3663,6.3,0.29,0.29,3.3,0.037,32,140,0.9895,3.17,0.36,12.8,1
3664,6.3,0.29,0.29,3.3,0.037,32,140,0.9895,3.17,0.36,12.8,1
3665,5.8,0.3,0.38,4.9,0.039,22,86,0.98963,3.23,0.58,13.1,1
3666,7.1,0.27,0.27,10.4,0.041,26,114,0.99335,3.04,0.52,11.5,1
3667,5.8,0.3,0.38,4.9,0.039,22,86,0.98963,3.23,0.58,13.1,1
3668,7.1,0.27,0.27,10.4,0.041,26,114,0.99335,3.04,0.52,11.5,1
3669,6.6,0.35,0.26,2.7,0.045,19,129,0.98952,3.24,0.48,13,1
3670,5.8,0.61,0.01,8.4,0.041,31,104,0.9909,3.26,0.72,14.05,1
