ID,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,Column1
4162,7.2,0.21,0.29,3.1,0.044,39,122,0.99143,3,0.6,11.3,0
4163,6.4,0.24,0.49,5.8,0.053,25,120,0.9942,3.01,0.98,10.5,0
4164,6.5,0.46,0.24,11.5,0.051,56,171,0.99588,3.08,0.56,9.8,0
4165,6.5,0.18,0.48,18,0.054,56,183,1.00038,2.98,0.61,8.5,0
4166,6.2,0.32,0.12,4.8,0.054,6,97,0.99424,3.16,0.5,9.3,0
4167,7.2,0.4,0.24,8.5,0.055,45,151,0.99626,3.2,0.52,9.2,0
4168,5.9,0.23,0.24,1.6,0.037,32,115,0.99076,3.21,0.51,11.4,0
4169,6.4,0.18,0.48,18,0.054,56,183,1.00038,2.98,0.61,8.5,0
4170,6.2,0.32,0.12,4.8,0.054,6,97,0.99424,3.16,0.5,9.3,0
4171,6.4,0.37,0.12,5.9,0.056,6,91,0.99536,3.06,0.46,8.4,0
4172,7,0.23,0.42,1.1,0.062,35,100,0.99318,3.04,0.4,9.2,0
4173,7.2,0.4,0.24,8.5,0.055,45,151,0.99626,3.2,0.52,9.2,0
4174,7.6,0.19,0.37,13.1,0.033,52,151,0.99726,3.18,0.79,10.4,0
4175,6,0.28,0.27,4.1,0.046,50,147,0.99126,3.27,0.56,11.6,0
4176,6.2,0.32,0.45,2.9,0.029,37,94,0.98998,3.25,0.6,12.4,0
4177,7.6,0.19,0.37,13.1,0.033,52,151,0.99726,3.18,0.79,10.4,0
4178,6.4,0.26,0.26,1.1,0.052,22,176,0.99304,3.09,0.54,9.3,0
4179,5.9,0.25,0.27,1.5,0.029,37,81,0.9892,3.2,0.46,12.2,0
4180,6.1,0.28,0.3,7.75,0.031,33,139,0.99296,3.22,0.46,11,0
4181,6.9,0.19,0.38,1.15,0.023,30,105,0.99047,3.11,0.38,11.4,0
4182,6.4,0.29,0.57,1,0.06,15,120,0.9924,3.06,0.41,9.5,0
4183,6.8,0.27,0.22,17.8,0.034,16,116,0.9989,3.07,0.53,9.2,0
4184,7.5,0.26,0.38,5.7,0.021,23,125,0.99338,3.13,0.62,11.1,0
4185,6.8,0.27,0.22,17.8,0.034,16,116,0.9989,3.07,0.53,9.2,0
4186,6.4,0.2,0.22,7.4,0.032,53,172,0.99404,3.24,0.58,11,0
4187,7.3,0.33,0.22,1.4,0.041,40,177,0.99287,3.14,0.48,9.9,0
4188,7.3,0.34,0.22,1.4,0.044,43,176,0.99286,3.14,0.46,9.9,0
4189,6.4,0.29,0.57,1,0.06,15,120,0.9924,3.06,0.41,9.5,0
4190,6.1,1.1,0.16,4.4,0.033,8,109,0.99058,3.35,0.47,12.4,0
4191,6.3,0.24,0.29,1.6,0.052,48,185,0.9934,3.21,0.5,9.4,0
4192,6.2,0.24,0.22,7.9,0.053,45,149,0.99545,3.23,0.52,9.3,0
4193,6.9,0.19,0.35,13.5,0.038,49,118,0.99546,3,0.63,10.7,0
4194,6.9,0.19,0.35,13.5,0.038,49,118,0.99546,3,0.63,10.7,0
4195,6.8,0.16,0.36,1.3,0.034,32,98,0.99058,3.02,0.58,11.3,0
4196,6.8,0.3,0.27,11.6,0.028,22,97,0.99314,2.96,0.38,11.7,0
4197,6.2,0.24,0.22,7.9,0.053,45,149,0.99545,3.23,0.52,9.3,0
4198,6.8,0.3,0.27,11.6,0.028,22,97,0.99314,2.96,0.38,11.7,0
4199,6.5,0.43,0.18,13.15,0.032,25,131,0.99565,3.23,0.51,10.7,0
4200,6.6,0.17,0.36,1.9,0.036,38,110,0.99056,3.05,0.54,11.4,0
4201,6.9,0.19,0.35,13.5,0.038,49,118,0.99546,3,0.63,10.7,0
4202,6.8,0.16,0.36,1.3,0.034,32,98,0.99058,3.02,0.58,11.3,0
4203,6.4,0.41,0.01,6.1,0.048,20,70,0.99362,3.19,0.42,10,0
4204,6.4,0.41,0.01,6.1,0.048,20,70,0.99362,3.19,0.42,10,0
4205,7.4,0.36,0.32,1.9,0.036,27,119,0.99196,3.15,0.49,11.2,0
4206,6.1,0.17,0.21,1.9,0.09,44,130,0.99255,3.07,0.41,9.7,0
4207,5.5,0.28,0.21,1.6,0.032,23,85,0.99027,3.42,0.42,12.5,0
4208,7.1,0.44,0.27,8.4,0.057,60,160,0.99257,3.16,0.36,11.8,0
4209,6.9,0.38,0.28,8.3,0.062,22,166,0.99506,3.16,0.72,10.6,0
4210,7.1,0.44,0.27,8.4,0.057,60,160,0.99257,3.16,0.36,11.8,0
4211,6.2,0.24,0.28,12.2,0.049,54,133,0.9952,3.19,0.37,10.7,0
4212,6.1,0.28,0.27,8,0.048,41,162,0.99498,3.21,0.51,9.9,0
4213,7.6,0.26,0.32,1.3,0.048,23,76,0.9903,2.96,0.46,12,0
4214,6.5,0.36,0.16,1.3,0.054,11,107,0.99398,3.19,0.39,8.5,0
4215,6.6,0.35,0.19,10.5,0.06,15,82,0.99588,3.13,0.38,9.9,0
4216,5.7,0.25,0.26,12.5,0.049,52.5,120,0.99691,3.08,0.45,9.4,0
4217,7.4,0.37,0.26,9.6,0.05,33,134,0.99608,3.13,0.46,10.4,0
4218,5.7,0.25,0.21,1.5,0.044,21,108,0.99142,3.3,0.59,11,0
4219,5.8,0.23,0.21,1.5,0.044,21,110,0.99138,3.3,0.57,11,0
4220,5.4,0.265,0.28,7.8,0.052,27,91,0.99432,3.19,0.38,10.4,0
4221,5.7,0.25,0.27,10.8,0.05,58,116,0.99592,3.1,0.5,9.8,0
4222,5.7,0.25,0.26,12.5,0.049,52.5,106,0.99691,3.08,0.45,9.4,0
4223,5.9,0.23,0.28,8.6,0.046,37,142,0.99432,3.23,0.53,10.6,0
4224,6.2,0.3,0.32,1.2,0.052,32,185,0.99266,3.28,0.44,10.1,0
4225,7.4,0.26,0.29,3.7,0.048,14,73,0.9915,3.06,0.45,11.4,0
4226,7,0.2,0.4,1.1,0.058,30,93,0.99322,3.03,0.38,9.2,0
4227,6.5,0.21,0.42,1.1,0.059,33,101,0.9927,3.12,0.38,9.7,0
4228,7.3,0.25,0.27,3.8,0.047,16,79,0.99173,3.07,0.46,11.3,0
4229,6.8,0.27,0.24,4.6,0.098,36,127,0.99412,3.15,0.49,9.6,0
4230,6.7,0.24,0.3,10.2,0.07,44,179,0.99666,2.86,0.46,8.9,0
4231,6.4,0.14,0.28,7.9,0.057,21,82,0.99425,3.26,0.36,10,0
4232,6.4,0.5,0.2,2.4,0.059,19,112,0.99314,3.18,0.4,9.2,0
4233,6.6,0.41,0.27,10.7,0.11,20,103,0.99672,3.08,0.41,9,0
4234,6.6,0.41,0.27,10.7,0.11,20,103,0.99672,3.08,0.41,9,0
4235,8,0.25,0.35,1.1,0.054,13,136,0.99366,3.08,0.55,9.5,0
4236,6.4,0.14,0.28,7.9,0.057,21,82,0.99425,3.26,0.36,10,0
4237,6.6,0.21,0.34,5.6,0.046,30,140,0.99299,3.22,0.38,11,0
4238,6.4,0.5,0.2,2.4,0.059,19,112,0.99314,3.18,0.4,9.2,0
4239,6.3,0.29,0.23,14.2,0.037,24,99,0.99528,3.08,0.38,10.6,0
4240,6.9,0.37,0.23,9.5,0.057,54,166,0.99568,3.23,0.42,10,0
4241,6.9,0.37,0.23,9.5,0.057,54,166,0.99568,3.23,0.42,10,0
4242,5.3,0.23,0.56,0.9,0.041,46,141,0.99119,3.16,0.62,9.7,0
4243,6.8,0.3,0.26,20.3,0.037,45,150,0.99727,3.04,0.38,12.3,0
4244,6.7,0.28,0.42,3.5,0.035,43,105,0.99021,3.18,0.38,12.2,0
4245,5,0.255,0.22,2.7,0.043,46,153,0.99238,3.75,0.76,11.3,0
4246,7.6,0.4,0.27,1.2,0.053,23,193,0.99164,3.22,0.38,11.6,0
4247,5.5,0.21,0.25,1.2,0.04,18,75,0.99006,3.31,0.56,11.3,0
4248,6,0.2,0.25,2,0.041,30,95,0.99078,3.27,0.56,11.1,0
4249,6.1,0.17,0.29,1.1,0.041,32,92,0.99036,3.26,0.57,11.2,0
4250,7.5,0.21,0.29,1.5,0.046,35,107,0.99123,3.15,0.45,11.3,0
4251,7.3,0.26,0.32,1.2,0.041,29,94,0.98978,3.07,0.45,12,0
4252,6.2,0.35,0.2,18.1,0.069,33,158,0.99908,3.15,0.5,8.8,0
4253,6.2,0.35,0.2,18.1,0.069,33,158,0.99908,3.15,0.5,8.8,0
4254,7.4,0.28,0.5,12.1,0.049,48,122,0.9973,3.01,0.44,9,0
4255,6.3,0.23,0.22,17.45,0.054,42,151,0.99853,3.12,0.6,9.3,0
4256,6.2,0.34,0.25,12.1,0.059,33,171,0.99769,3.14,0.56,8.7,0
4257,6.6,0.44,0.32,3,0.095,13,75,0.98954,3.1,0.63,12.8,0
4258,6.3,0.17,0.23,5.7,0.048,44,147,0.99382,3.08,0.54,10,0
4259,6.3,0.18,0.22,5.6,0.047,45,147,0.99383,3.09,0.54,10,0
4260,6.7,0.31,0.34,6.8,0.059,51,215,0.99538,3.33,0.56,10.3,0
4261,6.6,0.33,0.32,15.6,0.054,62,227,0.99734,3.25,0.56,10.4,0
4262,6.8,0.29,0.32,1.8,0.032,18,130,0.99095,3.05,0.62,11.2,0
4263,7.4,0.31,0.26,8.6,0.048,47,206,0.9964,3.26,0.36,9.1,0
4264,7.4,0.31,0.26,8.6,0.048,47,206,0.9964,3.26,0.36,9.1,0
4265,5.7,0.25,0.27,11.5,0.04,24,120,0.99411,3.33,0.31,10.8,0
4266,6.8,0.27,0.28,7.8,0.038,26,89,0.9915,3.24,0.34,12.5,0
4267,5.9,0.26,0.24,2.4,0.046,27,132,0.99234,3.63,0.73,11.3,0
4268,5.9,0.65,0.23,5,0.035,20,128,0.99016,3.46,0.48,12.8,0
4269,7.4,0.31,0.26,8.6,0.048,47,206,0.9964,3.26,0.36,9.1,0
4270,6.6,0.23,0.32,1.5,0.041,8,72,0.98949,3.22,0.39,12.7,0
4271,6.8,0.28,0.29,11.9,0.052,51,149,0.99544,3.02,0.58,10.4,0
4272,6.8,0.28,0.29,11.9,0.052,51,149,0.99544,3.02,0.58,10.4,0
4273,5.9,0.27,0.27,9,0.051,43,136,0.9941,3.25,0.53,10.7,0
4274,6.1,0.25,0.28,10,0.055,56,131,0.994,3.22,0.35,10.9,0
4275,6.8,0.28,0.29,11.9,0.052,51,149,0.99544,3.02,0.58,10.4,0
4276,6.8,0.26,0.29,11.9,0.052,54,160,0.99546,3.03,0.58,10.4,0
4277,6.2,0.2,0.25,15,0.055,8,120,0.99767,3.19,0.53,9.6,0
4278,7.6,0.48,0.31,9.4,0.046,6,194,0.99714,3.07,0.61,9.4,0
4279,7.4,0.26,0.32,3.7,0.032,29,193,0.99134,3.1,0.67,12.5,0
4280,6.2,0.2,0.25,15,0.055,8,120,0.99767,3.19,0.53,9.6,0
4281,6.1,0.3,0.47,1.4,0.049,50,187,0.9927,3.19,0.45,9.5,0
4282,6.2,0.32,0.5,6.5,0.048,61,186,0.9948,3.19,0.45,9.6,0
4283,6.1,0.3,0.47,1.4,0.049,50,187,0.9927,3.19,0.45,9.5,0
4284,6.3,0.34,0.52,6.3,0.047,63,186,0.99481,3.18,0.44,9.6,0
4285,7.2,0.26,0.38,1.5,0.061,12,120,0.99192,3.18,0.46,10.4,0
4286,7,0.31,0.35,1.6,0.063,13,119,0.99184,3.22,0.5,10.7,0
4287,6,0.19,0.26,1.4,0.039,30,104,0.98998,3.32,0.41,12.4,0
4288,6.6,0.22,0.37,1.6,0.04,31,101,0.99009,3.15,0.66,12,0
4289,6.8,0.34,0.27,5.2,0.06,14,169,0.99252,3.27,0.57,11.6,0
4290,7.1,0.34,0.86,1.4,0.174,36,99,0.99288,2.92,0.5,9.3,0
4291,6.3,0.24,0.22,11.9,0.05,65,179,0.99659,3.06,0.58,9.3,0
4292,6.8,0.24,0.33,3.2,0.049,68,161,0.99324,3.1,0.69,10.2,0
4293,6.4,0.25,0.33,1.7,0.037,35,113,0.99164,3.23,0.66,10.6,0
4294,6.9,0.24,0.4,15.4,0.052,81,198,0.9986,3.2,0.69,9.4,0
4295,6.5,0.31,0.61,13,0.053,31,123,0.99708,3.09,0.5,9.3,0
4296,6.6,0.25,0.32,5.6,0.039,15,68,0.99163,2.96,0.52,11.1,0
4297,7.5,0.38,0.56,9.7,0.055,15,170,0.99605,3.13,0.65,9.9,0
4298,6.9,0.24,0.4,15.4,0.052,81,198,0.9986,3.2,0.69,9.4,0
4299,7.6,0.27,0.32,1.2,0.043,23,72,0.99236,3.06,0.68,10.5,0
4300,5.9,0.24,0.34,2,0.037,40,108,0.98948,3.19,0.5,12.3,0
4301,5.3,0.33,0.3,1.2,0.048,25,119,0.99045,3.32,0.62,11.3,0
4302,6.4,0.21,0.21,5.1,0.097,21,105,0.9939,3.07,0.46,9.6,0
4303,7,0.22,0.3,1.4,0.04,14,63,0.98985,3.2,0.33,12,0
4304,7.8,0.27,0.35,1.2,0.05,36,140,0.99138,3.09,0.45,11.2,0
4305,6.7,0.2,0.24,6.5,0.044,28,100,0.99348,3.12,0.33,10.2,0
4306,8.1,0.27,0.33,1.3,0.045,26,100,0.99066,2.98,0.44,12.4,0
4307,6.7,0.2,0.24,6.5,0.044,28,100,0.99348,3.12,0.33,10.2,0
4308,5.8,0.22,0.29,1.3,0.036,25,68,0.98865,3.24,0.35,12.6,0
4309,6.3,0.3,0.48,7.4,0.053,34,149,0.99472,3.18,0.53,9.8,0
4310,7.9,0.36,0.53,12.9,0.049,63,139,0.99792,2.94,0.45,9.1,0
4311,8.1,0.27,0.33,1.3,0.045,26,100,0.99066,2.98,0.44,12.4,0
4312,8,0.24,0.33,1.2,0.044,28,101,0.99035,3.03,0.43,12.5,0
4313,6.7,0.41,0.27,2.6,0.033,25,85,0.99086,3.05,0.34,11.7,0
4314,6.7,0.24,0.31,2.3,0.044,37,113,0.99013,3.29,0.46,12.9,0
4315,6.2,0.3,0.32,1.3,0.054,27,183,0.99266,3.3,0.43,10.1,0
4316,6.9,0.26,0.38,10.5,0.044,33,139,0.99517,3.06,0.5,10.3,0
4317,6.7,0.41,0.27,2.6,0.033,25,85,0.99086,3.05,0.34,11.7,0
4318,5.9,0.32,0.2,14.4,0.05,29,144,0.99666,3.24,0.41,10.3,0
4319,5.6,0.23,0.29,3.1,0.023,19,89,0.99068,3.25,0.51,11.2,0
4320,6.6,0.23,0.32,1.7,0.024,26,102,0.99084,3.29,0.6,11.8,0
4321,6,0.17,0.21,6,0.05,26,134,0.9939,3.08,0.54,9.8,0
4322,7.1,0.38,0.42,11.8,0.041,32,193,0.99624,3.04,0.49,10,0
4323,6.6,0.31,0.37,6.2,0.052,13,164,0.99602,3.24,0.39,8.8,0
4324,6.5,0.38,0.53,1.4,0.142,5,69,0.9926,3.14,0.52,10.1,0
4325,7,0.44,0.24,12.1,0.056,68,210,0.99718,3.05,0.5,9.5,0
4326,7,0.44,0.24,12.1,0.056,68,210,0.99718,3.05,0.5,9.5,0
4327,7,0.44,0.24,12.1,0.056,68,210,0.99718,3.05,0.5,9.5,0
4328,6.1,0.38,0.14,3.9,0.06,27,113,0.99344,3.07,0.34,9.2,0
4329,8,0.33,0.32,4.6,0.041,31,180,0.99184,2.92,0.74,12.2,0
4330,7,0.44,0.24,12.1,0.056,68,210,0.99718,3.05,0.5,9.5,0
4331,6,0.19,0.29,1.2,0.046,29,92,0.99033,3.22,0.53,11.3,0
4332,6.3,0.28,0.34,8.1,0.038,44,129,0.99248,3.26,0.29,12.1,0
4333,6.1,0.38,0.14,3.9,0.06,27,113,0.99344,3.07,0.34,9.2,0
4334,5.3,0.43,0.11,1.1,0.029,6,51,0.99076,3.51,0.48,11.2,0
4335,6.2,0.345,0.27,10.1,0.056,38,187,0.99486,3.31,0.56,10.6,0
4336,6.2,0.29,0.23,12.4,0.048,33,201,0.99612,3.11,0.56,9.9,0
4337,6.3,0.26,0.25,5.2,0.046,11,133,0.99202,2.97,0.68,11,0
4338,6,0.22,0.23,5,0.045,10,122,0.99261,2.94,0.63,10,0
4339,7.5,0.35,0.37,2.5,0.066,29,89,0.98964,3.14,0.42,12.7,0
4340,6.6,0.39,0.28,9.2,0.036,10,92,0.99206,3.07,0.35,12.1,0
4341,6.3,0.23,0.33,6.9,0.052,23,118,0.9938,3.23,0.46,10.4,0
4342,6.3,0.22,0.3,2,0.05,23,120,0.99204,3.24,0.47,10.4,0
4343,6.4,0.29,0.18,15,0.04,21,116,0.99736,3.14,0.5,9.2,0
4344,6.4,0.29,0.18,15,0.04,21,116,0.99736,3.14,0.5,9.2,0
4345,7.5,0.23,0.3,1.2,0.03,27,80,0.99192,3.05,0.68,10.5,0
4346,6.4,0.29,0.18,15,0.04,21,116,0.99736,3.14,0.5,9.2,0
4347,6.5,0.26,0.24,10.8,0.042,47,130,0.996,3.08,0.4,10.1,0
4348,6.4,0.27,0.29,3.9,0.034,62,140,0.99237,3.1,0.59,11.1,0
4349,6.8,0.26,0.26,2,0.019,23.5,72,0.99041,3.16,0.47,11.8,0
4350,7.6,0.36,0.48,13.5,0.038,44,116,0.9982,3.04,0.48,9.2,0
4351,7.6,0.35,0.47,13.3,0.037,42,116,0.99822,3.04,0.5,9.2,0
4352,5.7,0.18,0.26,2.2,0.023,21,95,0.9893,3.07,0.54,12.3,0
4353,6.6,0.36,0.47,1.4,0.145,26,124,0.99274,3.09,0.56,10.1,0
4354,5.9,0.14,0.2,1.6,0.04,26,114,0.99105,3.25,0.45,11.4,0
4355,5.5,0.23,0.19,2.2,0.044,39,161,0.99209,3.19,0.43,10.4,0
4356,6.7,0.11,0.26,14.8,0.053,44,95,0.99676,3.2,0.35,9.8,0
4357,7,0.24,0.24,1.8,0.047,29,91,0.99251,3.3,0.43,9.9,0
4358,6.7,0.11,0.26,14.8,0.053,44,95,0.99676,3.2,0.35,9.8,0
4359,5.3,0.47,0.1,1.3,0.036,11,74,0.99082,3.48,0.54,11.2,0
4360,7.5,0.29,0.24,9.9,0.058,25,115,0.99567,3.15,0.46,10.9,0
4361,6,0.33,0.26,5.1,0.051,16,119,0.99416,3.15,0.41,9.2,0
4362,6,0.33,0.26,5.1,0.051,16,119,0.99416,3.15,0.41,9.2,0
4363,5.8,0.32,0.23,1.5,0.033,39,121,0.9887,2.96,0.35,12,0
4364,5.8,0.3,0.23,1.5,0.034,37,121,0.98871,2.96,0.34,12.1,0
4365,3.8,0.31,0.02,11.1,0.036,20,114,0.99248,3.75,0.44,12.4,0
4366,6.2,0.36,0.22,5.25,0.038,44,145,0.99184,3.22,0.4,11.2,0
4367,6.9,0.52,0.54,7.9,0.036,23,169,0.99267,3.26,0.47,12.2,0
4368,7,0.55,0.05,8,0.036,19,164,0.99269,3.26,0.46,12.2,0
4369,5.8,0.2,0.16,1.4,0.042,44,99,0.98912,3.23,0.37,12.2,0
4370,6.2,0.36,0.22,5.25,0.038,44,145,0.99184,3.22,0.4,11.2,0
4371,5.7,0.22,0.29,3.5,0.04,27,146,0.98999,3.17,0.36,12.1,0
4372,7.1,0.46,0.23,13.7,0.045,44,192,0.9981,3.11,0.53,9.4,0
4373,6.6,0.21,0.3,9.9,0.041,64,174,0.995,3.07,0.5,10.1,0
4374,6.9,0.42,0.2,15.4,0.043,57,201,0.99848,3.08,0.54,9.4,0
4375,5.7,0.22,0.2,16,0.044,41,113,0.99862,3.22,0.46,8.9,0
4376,5.7,0.22,0.2,16,0.044,41,113,0.99862,3.22,0.46,8.9,0
4377,5.7,0.22,0.2,16,0.044,41,113,0.99862,3.22,0.46,8.9,0
4378,5.7,0.22,0.2,16,0.044,41,113,0.99862,3.22,0.46,8.9,0
4379,7.2,0.22,0.35,5.5,0.054,37,183,0.99474,3.08,0.5,10.3,0
4380,5.6,0.18,0.29,2.3,0.04,5,47,0.99126,3.07,0.45,10.1,0
4381,6.2,0.24,0.27,16.8,0.04,48,129,0.99691,3.23,0.38,10.5,0
4382,5.7,0.22,0.2,16,0.044,41,113,0.99862,3.22,0.46,8.9,0
4383,5.7,0.26,0.24,17.8,0.059,23,124,0.99773,3.3,0.5,10.1,0
4384,5.7,0.26,0.24,17.8,0.059,23,124,0.99773,3.3,0.5,10.1,0
4385,6,0.2,0.26,6.8,0.049,22,93,0.9928,3.15,0.42,11,0
4386,6,0.2,0.26,6.8,0.049,22,93,0.9928,3.15,0.42,11,0
4387,6,0.2,0.26,6.8,0.049,22,93,0.9928,3.15,0.42,11,0
4388,6,0.2,0.26,6.8,0.049,22,93,0.9928,3.15,0.42,11,0
4389,7.6,0.28,0.17,1.6,0.046,28,117,0.99288,3.08,0.43,10,0
4390,7,0.2,0.33,4.7,0.03,25,76,0.99202,2.88,0.54,10.5,0
4391,6.6,0.26,0.27,11.8,0.048,28,112,0.99606,2.87,0.49,9.7,0
4392,5.7,0.26,0.24,17.8,0.059,23,124,0.99773,3.3,0.5,10.1,0
4393,7.2,0.21,0.36,15.7,0.045,68,183,0.99922,3.25,0.76,9.4,0
4394,6.9,0.22,0.32,5.8,0.041,20,119,0.99296,3.17,0.55,11.2,0
4395,7.2,0.21,0.36,15.7,0.045,68,183,0.99922,3.25,0.76,9.4,0
4396,7.4,0.22,0.28,9,0.046,22,121,0.99468,3.1,0.55,10.8,0
4397,7.2,0.21,0.36,15.7,0.045,68,183,0.99922,3.25,0.76,9.4,0
4398,6.9,0.22,0.32,5.8,0.041,20,119,0.99296,3.17,0.55,11.2,0
4399,7,0.2,0.35,8.8,0.037,31,103,0.99388,3.13,0.49,11,0
4400,5.6,0.26,0,10.2,0.038,13,111,0.99315,3.44,0.46,12.4,0
4401,6.3,0.28,0.3,6.6,0.208,60,154,0.99478,3.1,0.4,9.4,0
4402,6.4,0.29,0.3,6.5,0.209,62,156,0.99478,3.1,0.4,9.4,0
4403,7.2,0.34,0.23,8.9,0.105,22,155,0.99692,3.01,0.58,9.5,0
4404,7.1,0.39,0.39,11.1,0.034,25,204,0.99616,3.05,0.52,10,0
4405,6.9,0.26,0.29,4.2,0.043,33,114,0.9902,3.16,0.31,12.5,0
4406,6.1,0.24,0.25,1.6,0.044,24,115,0.9921,3.39,0.59,10.9,0
4407,5.9,0.25,0.24,7.4,0.044,21,113,0.99462,3.38,0.58,10.5,0
4408,6.1,0.24,0.27,11.5,0.05,51,133,0.99476,3.22,0.37,10.8,0
